year,Blue,Green,NIR,Red,SWIR1,SWIR2,pixel_qa,site,landform
1986,356.873,681.618,"1,932.83",973.245,"2,614.48","1,958.73",66,gunda,shed
1986,252.618,608.789,"1,865.64",890.68,"2,472.43","1,856.29",66,gunda,shed
1987,283.28,698.926,"2,076.93","1,206.21","2,989.18","2,434.94",66,gunda,shed
1987,260.507,656.287,"1,952.86","1,030.17","2,717.99","2,111.49",66,gunda,shed
1987,286.481,688.057,"2,139.52","1,076.95","2,906.73","2,227.01",66,gunda,shed
1987,455.956,825.8,"2,288.48","1,224.03","3,050.96","2,370.78",66,gunda,shed
1987,298.003,705.313,"2,154.98","1,148.60","2,981.23","2,346.97",66,gunda,shed
1987,425.854,830.053,"2,309.76","1,316.92","3,267.47","2,661.24",66,gunda,shed
1987,370.244,810.581,"2,354.62","1,349.36","3,402.25","2,744.16",66,gunda,shed
1987,433.232,855.525,"2,382.51","1,414.09","3,465.88","2,780.93",66,gunda,shed
1987,333.168,732.544,"2,131.26","1,209.21","3,045.39","2,297.08",66,gunda,shed
1987,446.213,888.695,"2,385.55","1,509.83","3,522.74","2,973.30",66,gunda,shed
1987,357.391,812.321,"2,290.98","1,404.52","3,331.97","2,818.83",66,gunda,shed
1987,473.819,919.722,"2,465.81","1,538.66","3,584.39","2,928.83",66,gunda,shed
1988,334.193,762.687,"2,277.36","1,286.90","3,233.13","2,537.43",66,gunda,shed
1988,437.051,864.779,"2,465.98","1,438.24","3,389.88","2,813.87",66,gunda,shed
1988,337.012,787.271,"2,343.42","1,356.12","3,261.42","2,767.44",66,gunda,shed
1988,431.091,861.945,"2,430.68","1,458.13","3,446.86","2,866.24",66,gunda,shed
1988,405.668,826.127,"2,376.12","1,375.38","3,344.25","2,678.50",66,gunda,shed
1988,276.229,725.191,"2,301.23","1,316.61","3,321.08","2,726.43",66,gunda,shed
1988,407.488,814.754,"2,318.73","1,380.27","3,267.90","2,578.94",66,gunda,shed
1988,434.476,852.063,"2,378.96","1,431.35","3,329.30","2,685.77",66,gunda,shed
1988,,,,,,,,gunda,shed
1988,,,,,,,,gunda,shed
1988,244.538,623.524,"2,219.97",901.119,"2,475.17","1,767.13",66,gunda,shed
1988,336.405,685.273,"2,372.69",869.197,"2,356.62","1,593.54",66,gunda,shed
1988,,,,,,,,gunda,shed
1988,263.958,572.722,"2,121.57",609.848,"1,741.20","1,030.03",66,gunda,shed
1988,198.562,521.982,"2,192.67",619.853,"1,883.46","1,174.61",66,gunda,shed
1988,286.92,565.223,"2,203.23",633.06,"1,877.88","1,148.24",66,gunda,shed
1988,190.58,506.218,"2,061.60",533.343,"1,635.97",926.892,66,gunda,shed
1988,283.636,593.484,"2,284.36",672.735,"1,958.53","1,217.82",66,gunda,shed
1988,229.983,554.281,"2,224.00",661.22,"1,948.78","1,209.55",66,gunda,shed
1988,322.529,607.042,"2,156.01",683.252,"1,839.40","1,109.01",66,gunda,shed
1988,447.745,764.463,"2,259.75",884.418,"2,076.60","1,349.95",66,gunda,shed
1988,408.925,698.416,"2,063.15",808.123,"1,951.97","1,277.54",66,gunda,shed
1988,433.527,747.396,"2,209.56",970.666,"2,483.12","1,706.87",66,gunda,shed
1988,333.93,683.506,"2,058.08",941.114,"2,533.05","1,756.81",66,gunda,shed
1988,558.526,886.483,"2,262.30","1,179.08","2,871.69","1,998.71",66,gunda,shed
1988,449.124,782.081,"2,104.20","1,120.84","2,947.02","2,066.62",66,gunda,shed
1988,506.874,869.272,"2,285.29","1,273.06","3,199.52","2,244.53",66,gunda,shed
1988,326.289,638.081,"1,773.17",943.563,"2,457.42","1,750.13",66,gunda,shed
1988,468.469,830.914,"2,205.36","1,254.37","3,288.17","2,385.33",66,gunda,shed
1988,507.115,888.089,"2,283.56","1,292.41","3,238.53","2,236.32",66,gunda,shed
1988,441.849,791.936,"2,136.10","1,162.58","3,092.10","2,291.34",66,gunda,shed
1988,339.033,696.106,"2,055.58","1,035.59","2,856.66","2,045.53",66,gunda,shed
1989,362.384,728.631,"2,106.84","1,053.69","2,839","2,004.63",66,gunda,shed
1989,443.549,748.052,"2,225.41","1,138.01","3,109.97","2,230.93",66,gunda,shed
1989,278.837,598.462,"1,890.26",867.265,"2,330.73","1,489.17",66,gunda,shed
1989,420.96,767.257,"2,224.33","1,138.39","3,053.82","2,240.54",66,gunda,shed
1989,349.353,719.191,"2,092.95","1,086.75","2,860.21","2,086.79",66,gunda,shed
1989,430.097,784.916,"2,198.93","1,179.53","2,992.67","2,196.81",66,gunda,shed
1989,519.466,841.678,"2,276.66","1,158.83","2,904.94","2,083.38",66,gunda,shed
1989,298.732,636.548,"1,956.41",932.994,"2,664.22","1,965.31",66,gunda,shed
