year,blue,green,NIR,red,SWIR1,SWIR2,pixel_qa,plot
1986,347.584,681.062,"2,062.58",954.432,"2,639.98","1,980.95",66,4.00
1986,242.827,582.054,"1,963.23",859.858,"2,450.11","1,840.43",66,4.00
1987,273.077,659.712,"1,993.79","1,094.75","2,901","2,340.84",66,4.00
1987,238.759,674.135,"2,000.22","1,054.88","2,824.85","2,257.04",66,4.00
1987,282.92,685.744,"2,248.43","1,077.17","2,961.38","2,287.14",66,4.00
1987,452.322,817.366,"2,388.65","1,233.53","3,139.45","2,463.23",66,4.00
1987,303.258,700.048,"2,258.30","1,166.65","3,061.83","2,423.36",66,4.00
1987,424.882,825.995,"2,395","1,342.92","3,348.87","2,761.53",66,4.00
1987,373.525,836.491,"2,513.05","1,410.18","3,536.91","2,907.71",66,4.00
1987,416.682,858.677,"2,466.52","1,460.99","3,521.94","2,844.58",66,4.00
1987,330.995,736.516,"2,199.71","1,213.25","3,063.40","2,289.76",66,4.00
1987,431.988,910.073,"2,486.13","1,548.16","3,594.68","3,041.16",66,4.00
1987,359.994,824.791,"2,388.85","1,432.87","3,379.05","2,854.61",66,4.00
1987,467.296,938.313,"2,546.76","1,567.71","3,664.73","3,016.30",66,4.00
1988,335.35,772.664,"2,370.97","1,312.24","3,319.32","2,612.98",66,4.00
1988,424.416,858.334,"2,524.94","1,436.84","3,454.78","2,894.27",66,4.00
1988,326.148,776.732,"2,413.85","1,354.16","3,299.85","2,814.77",66,4.00
1988,418.528,855.882,"2,513.18","1,465.52","3,518.54","2,928.92",66,4.00
1988,389.872,815.765,"2,430.72","1,377.49","3,369.79","2,732.51",66,4.00
1988,268.578,714.756,"2,364.62","1,309.96","3,339.56","2,751.26",66,4.00
1988,397.325,820.684,"2,384.43","1,393.79","3,256.01","2,591.90",66,4.00
1988,426.846,835.644,"2,441.18","1,422.64","3,350.05","2,714.34",66,4.00
1988,,,,,,,,4.00
1988,,,,,,,,4.00
1988,229.818,616.508,"2,278.94",850.918,"2,444.63","1,770.54",66,4.00
1988,337.791,675.717,"2,427.86",854.594,"2,369.43","1,607.21",66,4.00
1988,,,,,,,,4.00
1988,261.111,561.874,"2,219.15",625.512,"1,730.47","1,033.21",66,4.00
1988,202.551,508.753,"2,356.66",579.85,"1,858.36","1,097.87",66,4.00
1988,278.292,569.727,"2,297.31",631.141,"1,882.48","1,155.83",66,4.00
1988,179.986,495.758,"2,160.70",507.358,"1,615.92",836.946,66,4.00
1988,280.274,584.852,"2,314.87",666.092,"2,045.75","1,300.63",66,4.00
1988,228.845,557.054,"2,324.22",645.105,"1,966.84","1,214.68",66,4.00
1988,307.005,628.557,"2,210.86",668.037,"1,895.38","1,146.78",66,4.00
1988,379.599,733.584,"2,347.09",839.819,"2,158.73","1,404.81",66,4.00
1988,388.619,701.529,"2,112.27",813.136,"2,051.04","1,384.74",66,4.00
1988,416.11,736.498,"2,243.47",950.659,"2,613.49","1,812.23",66,4.00
1988,294.43,636.94,"2,074.27",903.398,"2,620.73","1,821.78",66,4.00
1988,571.265,883.986,"2,341.39","1,188.65","2,958.60","2,116.30",66,4.00
1988,403.727,733.815,"2,097.43","1,068.52","2,840.88","2,003.02",66,4.00
1988,475.951,865.315,"2,390.93","1,291.18","3,310.31","2,342.70",66,4.00
1988,366.183,719.753,"2,032.09","1,068.50","2,864.93","2,052.44",66,4.00
1988,460.158,824.761,"2,305.92","1,266.08","3,386.27","2,493.45",66,4.00
1988,500.1,884.708,"2,379.62","1,295.09","3,288.73","2,245.57",66,4.00
1988,439.671,808.563,"2,242.88","1,203.26","3,229.37","2,427.00",66,4.00
1988,348.351,701.766,"2,146.60","1,067.30","2,990.05","2,139.07",66,4.00
1989,365.665,751.382,"2,220.94","1,083.34","2,920.38","2,066.29",66,4.00
1989,445.295,760.299,"2,346.80","1,176.85","3,202.87","2,321.94",66,4.00
1989,277.429,607.774,"2,002.63",880.737,"2,386.06","1,526.62",66,4.00
1989,416.857,794.785,"2,322.97","1,171.72","3,143.81","2,369.82",66,4.00
1989,355.462,738.502,"2,189.83","1,092.36","2,884.52","2,103.29",66,4.00
1989,419.103,802.571,"2,295.64","1,198.30","3,070.19","2,257.02",66,4.00
1989,550.79,907.198,"2,433.84","1,243.84","3,070.78","2,212.78",66,4.00
1989,298.61,660.485,"2,027.66",973.146,"2,723.11","2,027.27",66,4.00
1989,290.481,569.226,"2,037.71",639.797,"1,826.72","1,114.16",66,4.00
1989,280.607,532.185,"2,120.01",584.46,"1,834.44","1,117.47",66,4.00
1989,,,,,,,,4.00
1989,259.165,530.745,"2,052.19",614.583,"1,823.56","1,029.65",66,4.00
1989,,,,,,,,4.00
1989,290.93,578.178,"2,118.91",696.006,"2,077.57","1,317.48",66,4.00
1989,244.565,566.623,"2,014.02",706.885,"2,130.19","1,352.79",66,4.00
1989,284.822,568.297,"2,055.45",684.725,"2,128.24","1,392.69",66,4.00
1989,,,,,,,,4.00
1989,366.114,639.348,"2,061.79",790.738,"2,321.73","1,588.89",66,4.00
1989,339.834,659.031,"2,073.87",926.2,"2,536.13","1,796.28",66,4.00
1989,415.036,756.275,"2,180.16","1,058.62","2,792.96","2,008.36",66,4.00
1989,396.299,746.854,"2,145.70","1,056.76","2,764.05","1,971.67",66,4.00
1989,457.977,797.609,"2,243.73","1,169.11","3,001.93","2,177.43",66,4.00
1989,366.297,749.841,"2,136.10","1,150.73","3,103.05","2,300.79",66,4.00
1990,349.718,731.97,"2,110.25","1,189.64","3,111.11","2,343.84",66,4.00
1990,285.344,683.135,"2,077.03","1,098.57","2,943.30","2,194.20",66,4.00
1990,384.153,724.604,"2,139.68","1,160.99","3,099.51","2,376.98",66,4.00
1990,,,,,,,,4.00
1990,387.71,756.338,"2,154.06","1,172.01","3,035.30","2,239.84",66,4.00
1990,,,,,,,,4.00
1990,232.629,550.878,"1,979.82",640.911,"1,989.00","1,220.48",66,4.00
1990,299.613,614.669,"2,160.48",697.892,"2,128.76","1,348.51",66,4.00
1990,202.582,515.935,"1,984.21",543.991,"1,688.35",963.452,66,4.00
1990,278.052,556.752,"2,063.89",568.05,"1,784.51","1,034.34",66,4.00
1990,197.07,480.594,"2,057.24",527.463,"1,697.50",972.112,66,4.00
1990,176.847,474.116,"2,037.01",516.034,"1,724.97","1,021.57",66,4.00
1990,255.204,491.569,"1,973.85",549.712,"1,598.14",932.723,66,4.00
1990,240.125,613.3,"2,092.18",555.277,"1,811.02","1,062.70",66,4.00
1990,300.885,527.194,"1,976.31",577.129,"1,705.10",941.845,66,4.00
1990,197.29,433.852,"1,917.37",510.148,"1,681.04",940.595,66,4.00
1990,,,,,,,,4.00
1990,,,,,,,,4.00
1990,,,,,,,,4.00
1990,379.037,683.412,"2,022.86",864.223,"2,477.32","1,693.60",66,4.00
1990,319.184,665.272,"1,956.06",851.191,"2,419.81","1,704.95",66,4.00
1990,456.001,788.059,"2,169.32","1,037.69","2,798.79","1,982.34",66,4.00
1990,329.659,651.858,"1,992.69",921.399,"2,560.03","1,766.47",66,4.00
1990,455.242,798.976,"2,123.49","1,126.19","2,884.75","2,092.62",66,4.00
1990,342.703,695.29,"2,017.37","1,008.70","2,800.47","2,066.94",66,4.00
1990,798.532,"1,126.62","2,435.64","1,468.02","2,973.37","2,174.34",66,4.00
1990,446.551,809.206,"2,166.80","1,216.73","3,201.02","2,385.66",66,4.00
1990,458.388,818.014,"2,239.06","1,233.42","3,237.38","2,342.49",66,4.00
1990,342.072,726.09,"2,093.61","1,150.17","3,060.19","2,235.19",66,4.00
1990,466.222,846.353,"2,284.80","1,265.91","3,352.03","2,454.82",66,4.00
1990,443.639,804.348,"2,130.03","1,204.80","3,065.63","2,223.44",66,4.00
1991,414.173,777.346,"2,183.68","1,219.17","3,194.36","2,318.60",66,4.00
1991,405.192,760.923,"2,149.39","1,125.29","3,094.01","2,185.52",66,4.00
1991,313.862,630.368,"1,934.89",987.601,"2,866.67","2,157.92",66,4.00
1991,415.832,755.068,"2,121.58","1,163.95","3,121.26","2,376.12",66,4.00
1991,305.588,669.632,"2,013.16","1,077.17","2,961.87","2,247.17",66,4.00
1991,401.151,732.828,"2,083.34","1,121.66","3,129.33","2,342.83",66,4.00
1991,279.849,669.935,"1,976.46","1,062.03","2,915.58","2,178.66",66,4.00
1991,352.935,667.1,"1,931.48","1,011.88","2,674.41","1,971.76",66,4.00
1991,265.716,617.992,"1,980.88","1,040.41","2,941.57","2,252.84",66,4.00
1991,592.682,923.935,"2,314.14","1,326.71","3,298.76","2,445.03",66,4.00
1991,252.49,632.065,"1,967.85","1,046.22","2,849.92","2,140.36",66,4.00
1991,,,,,,,,4.00
1991,351.157,692,"1,939.12",961.356,"2,643.62","1,918.49",66,4.00
1991,325.484,657.241,"1,843.93",939.78,"2,639.69","1,928.59",66,4.00
1991,358.822,698.766,"1,919.38","1,032.97","2,770.28","2,058.53",66,4.00
1991,,,,,,,,4.00
1991,428.484,757.026,"2,008.38","1,107.09","2,905.57","2,254.31",66,4.00
1991,351.854,688.29,"1,948.99","1,100.21","2,814.48","2,233.08",66,4.00
1991,442.622,776.652,"1,991.59","1,155.93","2,956.66","2,353.03",66,4.00
1991,,,,,,,,4.00
1991,453.549,812.617,"2,109.84","1,263.38","3,247.58","2,563.38",66,4.00
1991,528.604,885.309,"2,130.86","1,295.89","3,224.61","2,466.38",66,4.00
1991,419.006,764.968,"2,106.74","1,244.40","3,260.24","2,653.33",66,4.00
1991,,,,,,,,4.00
1991,398.244,826.984,"2,222.82","1,356.97","3,416.13","2,751.58",66,4.00
1991,,,,,,,,4.00
1991,521.049,918.499,"2,314.50","1,484.77","3,604.72","2,921.82",66,4.00
1991,521.075,925.907,"2,357.50","1,528.20","3,627.43","2,962.63",66,4.00
1991,481.404,830.358,"2,317.58","1,356.80","3,439.11","2,802.44",66,4.00
1992,492.188,898.221,"2,400.64","1,431.88","3,426.24","2,774.59",66,4.00
1992,329.607,765.875,"2,254.86","1,309.32","3,242.56","2,620.60",66,4.00
1992,407.307,723.495,"2,121.68","1,135.49","2,798.94","2,015.32",66,4.00
1992,,,,,,,,4.00
1992,323.201,704.168,"2,201.38","1,172.63","3,019.90","2,384.23",66,4.00
1992,437.452,799.913,"2,317.39","1,299.55","3,193.57","2,460.96",66,4.00
1992,323.366,746.022,"2,196.81","1,216.41","3,132.51","2,459.50",66,4.00
1992,431.326,821.421,"2,301.78","1,317.90","3,176.57","2,480.33",66,4.00
1992,429.344,805.604,"2,324.21","1,283.97","3,248.45","2,564.79",66,4.00
1992,322.417,730.467,"2,146.01","1,164.29","2,961.45","2,287.82",66,4.00
1992,500.694,864.838,"2,219.13","1,273.95","2,834.53","2,193.26",66,4.00
1992,,,,,,,,4.00
1992,,,,,,,,4.00
1992,360.888,680.689,"2,086.69","1,023.77","2,592.43","1,922.50",66,4.00
1992,335.72,709.222,"2,095.84","1,120.33","2,743.27","2,109.66",66,4.00
1992,,,,,,,,4.00
1992,361.528,756.631,"2,052.82","1,082.75","2,668.82","2,027.80",66,4.00
1992,401.794,763.394,"2,069.49","1,101.21","2,678.19","2,011.25",66,4.00
