year,Blue,Green,NIR,Red,SWIR1,SWIR2,pixel_qa,site,lanform
1986,251.883,586.399,"1,685.32",753.656,"2,016.81","1,302.88",66,noco,acc
1986,376.929,702.717,"1,969.90",925.527,"2,441.68","1,742.15",66,noco,acc
1987,389.649,761.569,"2,011.89","1,137.45","2,900.55","2,162.25",66,noco,acc
1987,368.191,731.712,"1,961.76","1,020.25","2,650.84","1,927.84",66,noco,acc
1987,419.803,798.673,"2,156.87","1,167.64","3,028.66","2,251.38",66,noco,acc
1987,385.346,792.975,"2,097.48","1,187.37","2,996.69","2,283.59",66,noco,acc
1987,448.925,868.933,"2,224.62","1,316.10","3,308.62","2,545.43",66,noco,acc
1987,497.816,940.438,"2,377.33","1,491.66","3,709.02","2,932.91",66,noco,acc
1987,469.87,917.889,"2,293.57","1,450.82","3,565.48","2,753.53",66,noco,acc
1987,447.078,898.287,"2,279.67","1,449.84","3,571.74","2,697.02",66,noco,acc
1987,514.675,956.711,"2,386.44","1,521.80","3,715.18","2,816.79",66,noco,acc
1987,405.999,883.895,"2,258.29","1,466.18","3,520.73","2,881.39",66,noco,acc
1987,535.44,"1,014.37","2,478.53","1,631.60","3,778.86","3,103.40",66,noco,acc
1988,502.617,949.264,"2,472.48","1,443.24","3,626.66","2,725.49",66,noco,acc
1988,401.742,858.516,"2,437.83","1,306.03","3,236.39","2,456.15",66,noco,acc
1988,536.897,"1,009.48","2,776.67","1,537.37","3,635.15","2,870.85",66,noco,acc
1988,373.626,832.338,"2,388.23","1,316.05","3,181.08","2,494.49",66,noco,acc
1988,462.107,928.54,"2,549.23","1,481.44","3,545.25","2,695.70",66,noco,acc
1988,411.53,869.255,"2,364.41","1,405.74","3,254.73","2,435.23",66,noco,acc
1988,387.89,872.859,"2,384.69","1,421.82","3,279.03","2,542.53",66,noco,acc
1988,,,,,,,,noco,acc
1988,388.769,735.414,"2,206.85",898.217,"2,334.33","1,495.93",66,noco,acc
1988,316.77,640.319,"2,217.27",713.638,"1,801.55","1,006.24",66,noco,acc
1988,222.871,574.086,"2,133.68",623.878,"1,624.30",859.608,66,noco,acc
1988,200.447,535.117,"2,081.76",548.891,"1,503.11",779.963,66,noco,acc
1988,275.306,574.122,"2,132.31",576.598,"1,482.60",788.993,66,noco,acc
1988,410.826,742.927,"2,457.92",780.037,"1,868.03","1,090.68",67.799,noco,acc
1988,274.547,562.139,"2,010.93",556.348,"1,457.58",758.262,66,noco,acc
1988,200.391,505.232,"2,002.40",539.075,"1,578.66",861.968,66,noco,acc
1988,470,648.078,"1,621",729.922,"1,431.94",969.235,66,noco,acc
1988,347.36,644.006,"2,204.59",712.479,"1,926.66","1,114.69",66,noco,acc
1988,365.095,623.119,"1,968.32",647.755,"1,436.59",763.417,66,noco,acc
1988,465.671,784.034,"2,319.42",899.622,"2,243.27","1,412.28",66,noco,acc
1988,603.037,929.747,"2,302.82","1,059.61","2,195.69","1,413.11",66,noco,acc
