tree,canopy_1,canopy_2,canopy_3,canopy_3,canopy_4,d10_1,d10_2,d10_3,d10_4,d10_5,d10_6,d10_7,d10_8,tree_height,95_Canopy,rainfall,landform
1,412,491,,,,14.4,,,,,,,,1080,750,high,acc
2,420,453,,,,13.2,,,,,,,,840,460,high,acc
3,365,411,,,,15.1,,,,,,,,940,610,high,acc
4,574,584,,,,20.2,,,,,,,,990,590,high,acc
5,314,190,,,,8.1,,,,,,,,820,420,high,acc
6,662,705,,,,26.6,,,,,,,,1250,550,high,acc
7,604,441,,,,17.5,,,,,,,,940,550,high,acc
8,356,445,,,,16.5,,,,,,,,800,570,high,acc
9,580,249,,,,14.9,,,,,,,,1010,490,high,acc
10,556,571,,,,31.9,,,,,,,,1040,640,high,acc
11,513,610,,,,18.3,,,,,,,,890,450,high,acc
12,150,80,,,,4.2,,,,,,,,300,150,high,acc
13,112,151,,,,6,,,,,,,,360,220,high,acc
14,167,130,,,,3.8,,,,,,,,235,90,high,acc
15,170,192,,,,3.7,,,,,,,,350,120,high,acc
16,121,81,,,,1.5,,,,,,,,80,50,high,acc
17,91,152,,,,4,,,,,,,,370,190,high,acc
18,600,760,,,,21.4,,,,,,,,1090,490,high,acc
19,285,408,,,,16.4,,,,,,,,1010,590,high,acc
20,329,351,,,,13.3,,,,,,,,880,510,high,acc
21,329,349,,,,13,,,,,,,,410,120,high,shed
22,551,475,,,,18.9,,,,,,,,810,160,high,shed
23,232,99,,,,4.9,,,,,,,,360,110,high,shed
24,699,635,,,,20.8,,,,,,,,730,345,high,shed
25,317,229,,,,9.4,,,,,,,,410,170,high,shed
26,159,144,,,,10.5,,,,,,,,600,470,high,shed
27,162,106,,,,5,,,,,,,,390,170,high,shed
28,116,108,,,,7.4,,,,,,,,530,440,high,shed
29,178,161,,,,19.3,,,,,,,,570,390,high,shed
30,360,312,,,,12.4,,,,,,,,730,340,high,shed
31,87,125,,,,5.4,,,,,,,,370,250,high,shed
32,120,113,,,,6,,,,,,,,470,340,high,shed
33,230,252,,,,8,,,,,,,,440,328,high,shed
34,182,296,,,,6.8,,,,,,,,400,160,high,shed
35,502,416,,,,16,,,,,,,,710,320,high,shed
36,143,112,,,,3.5,,,,,,,,200,80,high,shed
37,382,289,,,,12.3,,,,,,,,750,520,high,shed
38,121,137,,,,5.5,,,,,,,,310,200,high,shed
39,164,168,,,,7.4,,,,,,,,400,190,high,shed
40,351,241,,,,10.6,,,,,,,,550,310,high,shed
41,588,454,,,,17.3,,,,,,,,740,280,moderate,acc
42,631,578,,,,19.3,,,,,,,,660,256,moderate,acc
43,746,899,,,,20.3,23.8,,,,,,,860,440,moderate,acc
44,470,407,,,,16.7,,,,,,,,640,275,moderate,acc
45,557,487,,,,19.2,,,,,,,,690,333,moderate,acc
46,814,697,,,,33.6,,,,,,,,910,540,moderate,acc
47,424,408,,,,14.3,,,,,,,,640,264,moderate,acc
48,361,358,,,,9.8,,,,,,,,560,262,moderate,acc
49,562,571,,,,19.1,,,,,,,,710,304,moderate,acc
50,527,494,,,,19.2,,,,,,,,640,298,moderate,acc
51,650,755,,,,26.3,,,,,,,,730,288,moderate,acc
52,470,552,,,,18.8,,,,,,,,580,258,moderate,acc
53,880,719,,,,20.6,7.1,20.9,,,,,,970,500,moderate,acc
54,282,264,,,,9.8,,,,,,,,520,320,moderate,acc
55,637,615,,,,20.3,,,,,,,,800,321,moderate,acc
56,360,349,,,,10,4.1,,,,,,,410,281,moderate,acc
57,530,522,,,,18.3,,,,,,,,640,350,moderate,acc
58,497,451,,,,17.7,,,,,,,,690,250,moderate,acc
59,392,370,,,,19.1,,,,,,,,600,310,moderate,acc
60,568,523,,,,22.3,,,,,,,,680,315,moderate,acc
61,523,505,,,,22.4,,,,,,,,490,160,moderate,shed
62,1026,843,,,,44.7,,,,,,,,580,170,moderate,shed
63,526,843,,,,18.4,15,,,,,,,590,210,moderate,shed
64,365,387,,,,16,13.7,,,,,,,580,250,moderate,shed
65,403,298,,,,11.5,9,,,,,,,390,190,moderate,shed
66,335,352,,,,13.5,,,,,,,,450,240,moderate,shed
67,512,607,,,,26.2,,,,,,,,490,180,moderate,shed
68,307,219,,,,11.7,,,,,,,,390,245,moderate,shed
69,176,179,,,,6.4,,,,,,,,340,225,moderate,shed
70,411,395,,,,8.6,10.3,9.7,,,,,,430,235,moderate,shed
71,479,444,,,,16,7.2,6.4,5,,,,,480,250,moderate,shed
72,528,660,,,,8.9,13.1,10.5,6,18,8.8,,,540,264,moderate,shed
73,415,464,,,,20.8,,,,,,,,530,230,moderate,shed
74,239,267,,,,6.8,8.3,,,,,,,400,240,moderate,shed
75,464,486,,,,16.4,,,,,,,,580,330,moderate,shed
76,183,228,,,,9.8,,,,,,,,410,200,moderate,shed
77,364,441,,,,15.7,14.7,,,,,,,660,260,moderate,shed
78,251,309,,,,15.7,,,,,,,,520,345,moderate,shed
79,554,774,,,,13.1,6.1,5.4,11,12.4,6.1,,,560,263,moderate,shed
80,235,246,,,,6.2,3.9,8.1,,,,,,,,moderate,shed
81,587,723,,,,14.1,12.1,7.5,,,,,,595,218,low,acc
82,452,339,,,,6.7,6.6,3.6,5.8,4.9,5.1,6.4,,212,155,low,acc
83,496,446,,,,17.9,,,,,,,,467,216,low,acc
84,251,177,,,,4.7,,,,,,,,312,153,low,acc
85,681,352,,,,33.4,,,,,,,,585,335,low,acc
86,551,364,,,,13.1,,,,,,,,488,237,low,acc
87,308,443,,,,8.3,,,,,,,,391,185,low,acc
88,361,387,,,,7.1,9.1,,,,,,,452.5,109,low,acc
89,272,274,,,,5,,,,,,,,231,163,low,acc
90,568,637,,,,18.6,,,,,,,,477,300,low,acc
91,561,562,,,,26.9,,,,,,,,457,187,low,acc
92,332,235,,,,11.7,,,,,,,,368,190,low,acc
93,205,105,,,,7,,,,,,,,265,150,low,acc
94,120,101,,,,5.4,2.4,,,,,,,317,180,low,acc
95,660,674,603,695,712,,,,,,,,,349.5,85,low,shed
96,285,243,274,277,,,,,,,,,,325,57,low,shed
97,769,754,759,728,743,,,,,,,,,491,120,low,shed
98,247,235,,,,5,4.5,,,,,,,296,129,low,shed
99,404,438,,,,4,6,3,6,5,5.5,4.5,,237,92,low,shed
100,417,477,,,,6.8,11.5,,,,,,,359,84,low,shed
101,449,432,,,,15.9,,,,,,,,396,103.5,low,shed
102,429,369,,,,15.4,,,,,,,,525,118,low,shed
103,319,235,,,,4.6,11.1,,,,,,,381,201.5,low,shed
104,359,282,,,,4,9.1,9.9,,,,,,433.5,299,low,shed
105,330,255,,,,9.2,,,,,,,,407.5,227.5,low,shed
106,378,398,,,,9.8,7.7,,,,,,,407,280,low,shed
107,1000,1036,,,,42,,,,,,,,537,187,low,shed
108,950,770,815,,,31,,,,,,,,547,240.5,low,shed
109,220,231,,,,14.2,,,,,,,,459,254,low,shed
