year,Blue,Green,NIR,Red,SWIR1,SWIR2,pixel_qa,site,landform
1986,519.421,"1,039.04","2,471.43","1,592.52","3,292.63","2,649.38",66,sturt,shed
1987,543.774,"1,093.10","2,562.77","1,703.88","3,653.69","2,936.86",66,sturt,shed
1987,"1,260.81","1,796.59","3,275.51","2,432.43","4,084.54","3,226.02",66,sturt,shed
1987,651.329,"1,216.71","2,737.47","1,941.81","4,041.21","3,304.20",66,sturt,shed
1987,615.641,"1,135.95","2,772.84","1,927.63","4,136.03","3,395.79",66,sturt,shed
1987,608.692,"1,225.63","2,781.64","2,037.78","4,171.11","3,606.57",66,sturt,shed
1987,640.421,"1,237.61","2,788.06","2,048.28","4,265.70","3,446.85",66,sturt,shed
1988,640.135,"1,246.91","2,888.98","2,049.94","4,293.77","3,403.64",66,sturt,shed
1988,598.075,"1,220.09","3,007.91","1,927.01","3,958.60","3,300.03",66,sturt,shed
1988,619.638,"1,231.30","2,897.38","2,034.63","4,061.91","3,287.28",66,sturt,shed
1988,594.338,"1,196.06","2,854.16","1,868.15","3,969.08","3,003.87",66,sturt,shed
1988,494.147,"1,018.89","2,731.65","1,552.51","3,430.31","2,521.38",66,sturt,shed
1988,,,,,,,,sturt,shed
1988,447.537,883.707,"2,575.90","1,273.39","2,869.77","2,012.56",66,sturt,shed
1988,417.78,862.519,"2,543.02","1,284.94","2,882.24","2,013.26",66,sturt,shed
1988,404.265,800.853,"2,415.17","1,227.05","2,815.80","1,978.25",66,sturt,shed
1988,470.33,951.266,"2,497.02","1,414.88","3,013.10","2,203.07",66,sturt,shed
1988,,,,,,,,sturt,shed
1988,560.313,"1,074.35","2,600.05","1,656.26","3,481.33","2,699.50",66,sturt,shed
1988,614,"1,136.90","2,558.19","1,761.24","3,585.29","2,732.93",66,sturt,shed
1988,635.211,"1,188.77","2,721.09","1,868.21","3,853.14","2,983.65",66,sturt,shed
1988,892.56,"1,405.40","2,718.66","2,016.14","3,530.48","2,617.23",66,sturt,shed
1988,629.217,"1,215.62","2,813.64","1,967.27","4,049.82","3,192.13",66,sturt,shed
1989,588.558,"1,162.75","2,802.06","1,808.28","3,902.70","3,067.29",66,sturt,shed
1989,599.985,"1,167.08","2,824.92","1,844.48","3,968.76","3,030.18",66,sturt,shed
1989,621.782,"1,187.55","2,758.00","1,897.90","3,873.49","2,879.10",66,sturt,shed
1989,509.324,982.539,"2,321.13","1,504.14","2,944.25","2,201.12",66,sturt,shed
1989,554.282,984.059,"2,326.51","1,387.18","2,867.10","1,976.11",66,sturt,shed
1989,433.864,835.533,"2,111.86","1,213.82","2,492.20","1,612.78",66,sturt,shed
1989,456.335,902.117,"2,160.68","1,309.57","2,864.24","2,015.77",66,sturt,shed
1989,,,,,,,,sturt,shed
1989,570.359,"1,090.11","2,491.21","1,655.54","3,461.66","2,610.97",66,sturt,shed
1989,655.557,"1,177.91","2,640.01","1,780.53","3,754.46","2,844.54",66,sturt,shed
1989,602.979,"1,163.54","2,688.54","1,835.54","3,938.94","3,034.44",66,sturt,shed
1989,615.333,"1,200.14","2,693.12","1,918.80","4,004.47","3,121.21",66,sturt,shed
1990,588.072,"1,133.18","2,586.94","1,804.43","3,807.44","2,874.74",66,sturt,shed
1990,582.192,"1,158.00","2,616.90","1,839.25","3,794.57","2,855.64",66,sturt,shed
1990,764.322,"1,192.58","2,278.55","1,611.94","2,767.77","2,034.41",66,sturt,shed
1990,524.814,"1,013.91","2,330.38","1,582.69","3,482.49","2,768.35",66,sturt,shed
1990,487.589,918.399,"2,330.29","1,320.96","2,812.53","2,083.10",66,sturt,shed
1990,456.529,927.259,"2,256.20","1,290.82","2,795.64","2,008.68",66,sturt,shed
1990,532.898,"1,040.61","2,384.96","1,634.41","3,672.65","2,899.08",66,sturt,shed
1990,595.8,"1,030.91","2,136.33","1,528.52","2,836.82","2,263.29",66,sturt,shed
1990,599.849,"1,162.63","2,607.75","1,877.82","3,947.46","3,263.16",66,sturt,shed
1990,631.137,"1,189.74","2,675.86","1,919.97","3,961.19","3,276.64",66,sturt,shed
1990,611.223,"1,199.82","2,756.26","1,981.05","4,204.01","3,446.81",66,sturt,shed
1990,611.711,"1,220.68","2,809.77","2,030.64","4,253.52","3,484.13",66,sturt,shed
1991,585.252,"1,155.49","2,712.57","1,946.02","4,118.43","3,354.03",66,sturt,shed
1991,567.231,"1,170.86","2,737.27","1,982.08","4,116.48","3,379.55",66,sturt,shed
1991,592.679,"1,187.94","2,834.77","1,994.32","4,192.77","3,497.62",66,sturt,shed
1991,621.831,"1,222.66","2,808.34","2,018.08","4,149.86","3,386.60",66,sturt,shed
1991,598.487,"1,211.73","2,792.59","2,022.90","4,116.15","3,355.53",66,sturt,shed
