fid,id,name,xcoord,ycoord
"1",,g1s1,145.813518190996,-30.542449025273
"2",,g1s2,145.813499823348,-30.5423584328411
"3",,g1s2,145.813481111424,-30.5422683288878
"4",,g1s4,145.813462089527,-30.5421787935381
"5",,g1s5,145.813443933452,-30.5420893309613
"6",,g7n6,145.813425957385,-30.5419978104908
"7",,g1s7,145.813407896435,-30.5419039623191
"8",,g2s1,145.701331745153,-30.5096349683147
"9",,g2s2,145.701301107504,-30.5095729233219
"10",,g2s3,145.701288848084,-30.5095283958089
"11",,g3s1,145.699832480264,-30.5103104986591
"12",,g3s2,145.699793899006,-30.510293729283
"13",,g4s1,145.692760807327,-30.5081902062112
"14",,g4s2,145.692796996383,-30.5082253083092
"15",,g4s3,145.692834244526,-30.5082610871833
"16",,g4s4,145.692872504836,-30.5082955405804
"17",,g4s5,145.69292761906,-30.5083511175973
"18",,g5s1,145.813081181102,-30.5401580261465
"19",,g5s2,145.813103902324,-30.5402497710234
"20",,g5s3,145.813115928616,-30.5403131896079
"21",,g6s1,145.81351946333,-30.5411486930088
"22",,g6s2,145.813427728227,-30.5409861331607
"23",,g6s3,145.813356948798,-30.5408643076474
"24",,g6s4,145.813311770506,-30.5407822242738
"25",,g6s5,145.813277688958,-30.5407241091831
