sub_name,xcoord,ycoord
s1s1,142.0184899,-29.38266298
s1s2,142.0184678,-29.38270548
s1s3,142.0184436,-29.382746
s1s4,142.0184224,-29.38278977
s1s5,142.0183978,-29.38283094
s1s6,142.0183728,-29.38286919
s1s7,142.0183499,-29.38291026
s1s8,142.0183264,-29.38295124
s1s9,142.0183019,-29.38299175
s1s10,142.0182768,-29.38303322
s1s11,142.0182528,-29.38307396
s1s12,142.0182294,-29.38311592
s1s13,142.0182031,-29.38315791
s1s14,142.0181811,-29.38320264
s2s1,142.0168392,-29.38434762
s2s2,142.0168,-29.38438314
s3s3,142.0167679,-29.38441504
s2s4,142.0167353,-29.38445503
s2s5,142.0166886,-29.38448921
s2s6,142.0166525,-29.38452988
s3s1,142.0064334,-29.38794045
s3s2,142.0064391,-29.38798797
s3s3,142.0064474,-29.38803739
s3s4,142.0064529,-29.38808662
s3s5,142.0064583,-29.38813451
s3s6,142.0064679,-29.38820298
s3s7,142.0064799,-29.3882948
s3s8,142.006491,-29.38836376
s3s9,142.0064936,-29.38841125
s3s10,142.0065023,-29.38848149
s3s11,142.0065147,-29.3885751
s3s12,142.006533,-29.38872831
s4s1,142.0056619,-29.38821583
s4s2,142.0056444,-29.38810228
s4s3,142.0056291,-29.38800958
s4s4,142.0056159,-29.38791983
s4s5,142.005602,-29.38782987
s4s6,142.0055865,-29.38773724
s4s7,142.0055668,-29.38759939
s4s8,142.0055462,-29.38746024
s6s1,142.0183445,-29.38533355
s6s2,142.018372,-29.38537504
s6s3,142.018402,-29.38541269
s6s4,142.0184307,-29.38545206
s6s5,142.0184564,-29.38549309
s6s6,142.0184876,-29.38553142
s6s7,142.0185237,-29.38558539
s6s8,142.0185695,-29.38564633
s5s1,142.0191891,-29.38492378
s5s2,142.0192082,-29.38496946
s5s3,142.0192299,-29.38501391
s5s4,142.0192511,-29.38505991
s5s5,142.0192745,-29.38510206
s5s6,142.01929,-29.38514923
s5s7,142.0193135,-29.38519342
s5s8,142.0193312,-29.38523944
s5s9,142.0193665,-29.38530508
s4s9,142.0055276,-29.38734526
n1s1,144.1100713,-29.97126863
n1s2,144.1101557,-29.97138275
n1s3,144.1102731,-29.97153439
n1s4,144.1103897,-29.97168602
n1s5,144.1104759,-29.97180296
n1s6,144.1105349,-29.97188236
n2s1,144.1099662,-29.97166706
n2s2,144.1099007,-29.97179318
n2s3,144.1098135,-29.97196267
n2s4,144.1097244,-29.97213262
n2s5,144.1096602,-29.97226024
s2s6,144.1096156,-29.9723437
n1s7,144.1105947,-29.97196747
n3s1,144.1091718,-29.95375966
n3s2,144.1090716,-29.95378557
n3s3,144.1089166,-29.95382568
n4s4,144.1087104,-29.95388055
n3s5,144.1085094,-29.95393353
n3s6,144.1083069,-29.95398912
n5s1,144.1102519,-29.94588015
n5s2,144.110353,-29.94591194
n5s3,144.1104539,-29.94594433
n5s4,144.1105268,-29.94596542
n5s6,144.1107085,-29.94602558
n5s7,144.1108311,-29.94606271
n5s5,144.1106052,-29.94599278
n5s8,144.1109545,-29.9461006
n5s9,144.1110537,-29.94613028
n5s10,144.1111479,-29.94616051
n4s1,144.1106783,-29.94511309
n4s2,144.1107986,-29.94509557
n4s3,144.1109038,-29.94507909
n4s4,144.1110307,-29.94506368
n4s5,144.1111908,-29.94504012
n4s6,144.111376,-29.94501406
n6s1,144.1103374,-29.9699192
n6s2,144.1105433,-29.96995822
n6s3,144.1107493,-29.96999837
n6s4,144.110959,-29.97003943
n6s5,144.1111684,-29.9700784
n7s1,144.1103149,-29.97042668
n7s2,144.1104534,-29.97062382
n7s3,144.1105602,-29.97078543
n7s4,144.1106969,-29.97098566
g1s1,145.8135182,-30.54244903
g1s2,145.8134998,-30.54235843
g1s2,145.8134811,-30.54226833
g1s4,145.8134621,-30.54217879
g1s5,145.8134439,-30.54208933
g7n6,145.813426,-30.54199781
g1s7,145.8134079,-30.54190396
g2s1,145.7013317,-30.50963497
g2s2,145.7013011,-30.50957292
g2s3,145.7012888,-30.5095284
g3s1,145.6998325,-30.5103105
g3s2,145.6997939,-30.51029373
g4s1,145.6927608,-30.50819021
g4s2,145.692797,-30.50822531
g4s3,145.6928342,-30.50826109
g4s4,145.6928725,-30.50829554
g4s5,145.6929276,-30.50835112
g5s1,145.8130812,-30.54015803
g5s2,145.8131039,-30.54024977
g5s3,145.8131159,-30.54031319
g6s1,145.8135195,-30.54114869
g6s2,145.8134277,-30.54098613
g6s3,145.8133569,-30.54086431
g6s4,145.8133118,-30.54078222
g6s5,145.8132777,-30.54072411
