tree,d_10_1st,d_10_2nd,d_10_3rd,d_10_4th,d_10_5th,d_10_6th,d_10_7th,d_10_8th,d_10_9th,d_10_10th,height,area_m2,sub_plot_area,subplot,plots,landform
1,7.5,,,,,,,,,,387.5,2550,150,s1s1,s1,shed
2,7.5,,,,,,,,,,372,2550,150,s1s1,s1,shed
3,5.5,,,,,,,,,,376,2550,150,s1s1,s1,shed
4,9.0,,,,,,,,,,352,2550,150,s1s1,s1,shed
5,3.0,,,,,,,,,,235,2550,150,s1s1,s1,shed
6,4.0,,,,,,,,,,296,2550,150,s1s1,s1,shed
7,22.0,,,,,,,,,,723.5,2550,150,s1s1,s1,shed
8,24.0,,,,,,,,,,578,2550,150,s1s1,s1,shed
9,25.2,,,,,,,,,,598,2550,150,s1s1,s1,shed
10,4.0,,,,,,,,,,348.5,2550,150,s1s1,s1,shed
11,8.0,,,,,,,,,,454,2550,150,s1s1,s1,shed
12,10.5,,,,,,,,,,539.5,2550,150,s1s1,s1,shed
13,2.0,,,,,,,,,,215,2550,150,s1s1,s1,shed
14,7.0,,,,,,,,,,454.5,2550,150,s1s1,s1,shed
15,7.5,,,,,,,,,,500,2550,150,s1s1,s1,shed
16,9.5,,,,,,,,,,520,2550,150,s1s1,s1,shed
17,5.5,,,,,,,,,,438,2550,150,s1s1,s1,shed
18,6.0,,,,,,,,,,346,2550,150,s1s1,s1,shed
19,13.0,,,,,,,,,,467,2550,150,s1s1,s1,shed
20,14.2,,,,,,,,,,559.5,2550,150,s1s2,s1,shed
21,10.3,16.3,,,,,,,,,569.5,2550,150,s1s2,s1,shed
22,11.7,,,,,,,,,,483,2550,150,s1s2,s1,shed
23,4.0,,,,,,,,,,277,2550,150,s1s2,s1,shed
24,7.5,,,,,,,,,,428,2550,150,s1s2,s1,shed
25,11.8,,,,,,,,,,469,2550,150,s1s2,s1,shed
26,8.5,,,,,,,,,,527,2550,150,s1s2,s1,shed
27,12.0,,,,,,,,,,473,2550,150,s1s3,s1,shed
28,5.0,,,,,,,,,,450,2550,150,s1s3,s1,shed
29,11.0,,,,,,,,,,590,2550,150,s1s3,s1,shed
30,8.0,,,,,,,,,,462.5,2550,150,s1s3,s1,shed
31,18.4,,,,,,,,,,530.5,2550,150,s1s3,s1,shed
32,7.0,,,,,,,,,,422,2550,150,s1s3,s1,shed
33,11.0,,,,,,,,,,550,2550,150,s1s3,s1,shed
34,11.6,,,,,,,,,,460,2550,150,s1s4,s1,shed
35,2.5,,,,,,,,,,177,2550,150,s1s4,s1,shed
36,7.5,,,,,,,,,,522.1,2550,150,s1s4,s1,shed
37,4.5,,,,,,,,,,362,2550,150,s1s4,s1,shed
38,4.0,,,,,,,,,,331.5,2550,150,s1s5,s1,shed
39,11.5,,,,,,,,,,488,2550,150,s1s5,s1,shed
40,4.0,,,,,,,,,,250.5,2550,150,s1s5,s1,shed
41,3.5,,,,,,,,,,248,2550,150,s1s5,s1,shed
42,3.0,,,,,,,,,,187,2550,150,s1s5,s1,shed
43,10.5,,,,,,,,,,545,2550,150,s1s5,s1,shed
44,10.6,,,,,,,,,,535,2550,150,s1s5,s1,shed
45,10.1,,,,,,,,,,469.5,2550,150,s1s5,s1,shed
46,10.2,,,,,,,,,,467.5,2550,150,s1s5,s1,shed
47,11.0,,,,,,,,,,572.5,2550,150,s1s6,s1,shed
48,16.0,,,,,,,,,,487,2550,150,s1s6,s1,shed
49,11.8,,,,,,,,,,445,2550,150,s1s6,s1,shed
50,6.5,,,,,,,,,,385,2550,150,s1s6,s1,shed
51,6.0,,,,,,,,,,389,2550,150,s1s6,s1,shed
52,14.8,,,,,,,,,,539.5,2550,150,s1s6,s1,shed
53,8.5,,,,,,,,,,508,2550,150,s1s6,s1,shed
54,8.4,,,,,,,,,,476,2550,150,s1s6,s1,shed
55,10.0,,,,,,,,,,418.5,2550,150,s1s7,s1,shed
56,17.1,,,,,,,,,,513,2550,150,s1s7,s1,shed
57,11.0,,,,,,,,,,160.5,2550,150,s1s7,s1,shed
58,17.5,,,,,,,,,,641,2550,150,s1s7,s1,shed
59,9.6,,,,,,,,,,574.5,2550,150,s1s7,s1,shed
60,31.6,,,,,,,,,,763,2550,150,s1s7,s1,shed
61,17.2,,,,,,,,,,551,2550,150,s1s8,s1,shed
62,6.5,7.0,,,,,,,,,372.5,2550,150,s1s8,s1,shed
63,17.5,,,,,,,,,,441,2550,150,s1s8,s1,shed
64,15.8,,,,,,,,,,601.5,2550,150,s1s8,s1,shed
65,17.4,,,,,,,,,,680,2550,150,s1s8,s1,shed
66,22.5,,,,,,,,,,683,2550,150,s1s8,s1,shed
67,24.7,,,,,,,,,,665,2550,150,s1s8,s1,shed
68,23.0,,,,,,,,,,537,2550,150,s1s8,s1,shed
69,20.0,,,,,,,,,,516,2550,150,s1s9,s1,shed
70,3.5,,,,,,,,,,238,2550,150,s1s9,s1,shed
71,19.5,,,,,,,,,,540,2550,150,s1s9,s1,shed
72,29.2,,,,,,,,,,604,2550,150,s1s9,s1,shed
73,5.0,,,,,,,,,,253,2550,150,s1s10,s1,shed
74,24.7,,,,,,,,,,492,2550,150,s1s10,s1,shed
75,7.0,,,,,,,,,,544,2550,150,s1s10,s1,shed
76,11.1,,,,,,,,,,520,2550,150,s1s10,s1,shed
77,9.2,,,,,,,,,,542,2550,150,s1s10,s1,shed
78,13.9,,,,,,,,,,546,2550,150,s1s10,s1,shed
79,7.0,,,,,,,,,,411,2550,150,s1s10,s1,shed
80,15.1,,,,,,,,,,526,2550,150,s1s10,s1,shed
81,19.8,,,,,,,,,,473,2550,150,s1s10,s1,shed
82,26.2,,,,,,,,,,644,2550,150,s1s10,s1,shed
83,15.4,,,,,,,,,,655,2550,150,s1s10,s1,shed
84,6.0,,,,,,,,,,312,2550,150,s1s11,s1,shed
85,5.5,,,,,,,,,,493,2550,150,s1s11,s1,shed
86,7.2,,,,,,,,,,419,2550,150,s1s11,s1,shed
87,6.2,,,,,,,,,,429,2550,150,s1s11,s1,shed
88,21.0,,,,,,,,,,566,2550,150,s1s11,s1,shed
89,10.4,,,,,,,,,,544,2550,150,s1s11,s1,shed
90,7.0,,,,,,,,,,383,2550,150,s1s11,s1,shed
91,7.0,,,,,,,,,,357,2550,150,s1s12,s1,shed
92,15.6,,,,,,,,,,506,2550,150,s1s12,s1,shed
93,22.6,,,,,,,,,,604.5,2550,150,s1s12,s1,shed
94,5.0,,,,,,,,,,351,2550,150,s1s12,s1,shed
95,5.0,6.0,,,,,,,,,459,2550,150,s1s12,s1,shed
96,8.3,,,,,,,,,,512,2550,150,s1s12,s1,shed
97,10.7,,,,,,,,,,522,2550,150,s1s12,s1,shed
98,21.3,,,,,,,,,,541,2550,150,s1s12,s1,shed
99,5.5,,,,,,,,,,318,2550,150,s1s12,s1,shed
100,16.9,,,,,,,,,,527,2550,150,s1s12,s1,shed
101,8.9,,,,,,,,,,436.5,2550,150,s1s12,s1,shed
102,7.0,,,,,,,,,,417.5,2550,150,s1s12,s1,shed
103,6.5,,,,,,,,,,488,2550,150,s1s12,s1,shed
104,7.0,7.8,,,,,,,,,350,2550,150,s1s13,s1,shed
105,4.0,,,,,,,,,,225.5,2550,150,s1s13,s1,shed
106,9.6,,,,,,,,,,492,2550,150,s1s13,s1,shed
107,20.2,,,,,,,,,,567.5,2550,150,s1s13,s1,shed
108,8.7,12.9,,,,,,,,,567,2550,150,s1s13,s1,shed
109,8.1,,,,,,,,,,506.5,2550,150,s1s13,s1,shed
110,15.6,,,,,,,,,,570,2550,150,s1s13,s1,shed
111,15.5,13.2,,,,,,,,,565,2550,150,s1s13,s1,shed
112,10.3,,,,,,,,,,497.5,2550,150,s1s13,s1,shed
113,3.5,,,,,,,,,,220.5,2550,150,s1s13,s1,shed
114,6.2,7.9,,,,,,,,,543.5,2550,150,s1s14,s1,shed
115,20.0,,,,,,,,,,521,2550,150,s1s14,s1,shed
116,13.9,,,,,,,,,,493,2550,150,s1s14,s1,shed
117,11.3,,,,,,,,,,504,2550,150,s1s14,s1,shed
118,16.2,,,,,,,,,,509,2550,150,s1s14,s1,shed
119,13.4,,,,,,,,,,487,2550,150,s1s14,s1,shed
120,8.6,,,,,,,,,,453,2550,150,s1s14,s1,shed
121,9.7,16.7,20.2,,,,,,,,522,3000,150,s3s1,s3,shed
122,9,10,,,,,,,,,603,3000,150,s3s1,s3,shed
123,8.4,12,11.1,,,,,,,,573,3000,150,s3s1,s3,shed
124,11.1,6.7,,,,,,,,,564,3000,150,s3s1,s3,shed
125,5.5,,,,,,,,,,364,3000,150,s3s1,s3,shed
126,18.2,,,,,,,,,,590,3000,150,s3s1,s3,shed
127,10.2,5.5,6,10.4,3,5.1,7.2,,,,629,3000,150,s3s1,s3,shed
128,10.5,14.5,8.9,3.5,,,,,,,560,3000,150,s3s1,s3,shed
129,5.6,,,,,,,,,,431,3000,150,s3s2,s3,shed
130,10.5,15.4,11.3,,,,,,,,571,3000,150,s3s2,s3,shed
131,5.7,,,,,,,,,,383,3000,150,s3s2,s3,shed
132,8.3,11.8,,,,,,,,,534,3000,150,s3s2,s3,shed
133,16.7,11.5,,,,,,,,,560,3000,150,s3s2,s3,shed
134,6.3,7.3,6,3,,,,,,,475,3000,150,s3s2,s3,shed
135,5.8,5.4,6.5,,,,,,,,505,3000,150,s3s2,s3,shed
136,5.8,6.2,,,,,,,,,485,3000,150,s3s2,s3,shed
137,9.6,9.2,,,,,,,,,550,3000,150,s3s2,s3,shed
138,8.7,17.6,10.3,7,,,,,,,629.5,3000,150,s3s2,s3,shed
139,8.7,9.5,,,,,,,,,645,3000,150,s3s2,s3,shed
140,10.8,5,,,,,,,,,602,3000,150,s3s3,s3,shed
141,8.9,8.7,9.4,10,,,,,,,605,3000,150,s3s3,s3,shed
142,13.6,9.1,8.6,,,,,,,,577,3000,150,s3s3,s3,shed
143,17.8,,,,,,,,,,584,3000,150,s3s3,s3,shed
144,9,5.7,,,,,,,,,533.5,3000,150,s3s3,s3,shed
145,8.6,4.4,,,,,,,,,557,3000,150,s3s3,s3,shed
146,6.2,3,,,,,,,,,469,3000,150,s3s3,s3,shed
147,8.1,5,6,,,,,,,,501,3000,150,s3s3,s3,shed
148,6.4,7.4,3,,,,,,,,556,3000,150,s3s3,s3,shed
149,16.7,5,,,,,,,,,512,3000,150,s3s3,s3,shed
150,5.3,7.8,9.2,5.1,7.3,,,,,,548,3000,150,s3s3,s3,shed
151,21.2,,,,,,,,,,553,3000,150,s3s3,s3,shed
152,14.4,,,,,,,,,,573,3000,150,s3s3,s3,shed
153,8.4,13.4,10.6,6,5.1,,,,,,562,3000,150,s3s3,s3,shed
154,5.3,,,,,,,,,,536,3000,150,s3s3,s3,shed
155,25.4,8.8,,,,,,,,,148,3000,150,s3s3,s3,shed
156,9.1,8.8,3,,,,,,,,501.5,3000,150,s3s4,s3,shed
157,11.8,10.3,8.2,,,,,,,,550.5,3000,150,s3s4,s3,shed
158,4.9,7.1,,,,,,,,,491,3000,150,s3s4,s3,shed
159,10.1,4.1,3.5,,,,,,,,510,3000,150,s3s4,s3,shed
160,7.8,10.9,7.5,11.9,,,,,,,495,3000,150,s3s4,s3,shed
161,9.3,8.9,10,,,,,,,,549,3000,150,s3s4,s3,shed
162,7.5,8.1,9.4,14.6,,,,,,,495,3000,150,s3s4,s3,shed
163,9.9,6.4,7.9,,,,,,,,575,3000,150,s3s4,s3,shed
164,13.1,5,8.4,11.9,,,,,,,418,3000,150,s3s5,s3,shed
165,6.4,2.1,2.8,,,,,,,,412,3000,150,s3s5,s3,shed
166,16.1,,,,,,,,,,515,3000,150,s3s5,s3,shed
