Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,Site,station_ID
1997,null,null,null,null,null,null,null,null,0,3.4,1,9,null,sturt,T.airport
1998,14,18,0,7,2,0,79.6,6,120,6.6,44.6,9.4,307.2,sturt,T.airport
1999,15.6,5.8,41.6,3,1.8,0,18.2,6,4.6,50,56.2,13,215.8,sturt,T.airport
2000,1,152,22.4,13.4,27.6,3.2,10.6,13.4,2,28.2,17.2,5,296,sturt,T.airport
2001,18.4,1.6,14.4,1.6,0.4,51.6,7.2,1,1.4,32,0.2,9,138.8,sturt,T.airport
2002,4,13.2,0,11,8.4,0.2,0,0,7.2,0,0.4,4.6,49,sturt,T.airport
2003,0,43.4,0,51,8.2,18.2,3.2,25.8,0,3.8,9.4,3.8,166.8,sturt,T.airport
2004,0.8,14.4,0.2,3.8,30.6,14.8,9.4,16.8,14.2,3.4,17,0,125.4,sturt,T.airport
2005,17.6,0,1.6,1.4,6,42,14,2.8,18.2,6,4.6,0,114.2,sturt,T.airport
2006,6.4,2,0.6,2.6,0,20.2,47.2,0,0,7.2,0,17.6,103.8,sturt,T.airport
2007,64.8,1.8,31,35,106.4,0.2,0,5.6,0,10.8,4,5,264.6,sturt,T.airport
2008,11.2,6.4,11,0,0.2,32.6,0,3.2,9,0.4,76.8,16.6,167.4,sturt,T.airport
2009,13.2,0.2,0.4,7.8,5.2,7.4,1.4,0.2,9.6,0,42,35.4,122.8,sturt,T.airport
2010,0.8,154.8,45.6,2.8,3.2,0.6,50.6,11,54.4,67.4,65.8,null,null,sturt,T.airport
2011,null,null,null,null,null,0,6.4,2.2,15.4,17.8,138.6,54.6,null,sturt,T.airport
2012,48.2,23.8,172.6,0.4,4.8,24.6,2.2,0.2,0.8,1.8,6.4,3,288.8,sturt,T.airport
2013,1.8,32,39.8,0,21.6,12.8,0.4,0,5,2.2,0,10.2,125.8,sturt,T.airport
2014,19,52.4,16.2,7.8,3.6,7,0.2,31,29.2,0.2,7.4,22,196,sturt,T.airport
2015,90,7,0,23.6,22,33.2,1,8,2.6,0.2,15,31,233.6,sturt,T.airport
2016,49,8.2,32.4,2.4,33.8,33.2,3.6,16.8,97,11.2,8.4,57.4,353.4,sturt,T.airport
2017,21.4,0,0.8,17.2,3.6,14.6,2.6,3.4,8,43,3.6,14.8,133,sturt,T.airport
2018,10.2,5.8,28,0,1,11.2,0.2,1,0,17.4,25,0.8,100.6,sturt,T.airport
2019,17.6,0.4,9.4,32.4,19.2,0.6,1.8,0,1.4,0,14.6,5,102.4,sturt,T.airport
2020,0,5,41.4,36.8,4.4,0,6,44.6,44.4,42.2,1,0.2,226,sturt,T.airport
2021,22.6,0.2,153.6,0,0,38,1.4,0,28.6,9.2,47,2.6,303.2,sturt,T.airport
2022,125.2,13.2,20.8,54.8,null,null,null,null,null,null,null,null,null,sturt,T.airport
