year,rainfall,annual_precipitation
1982,high,163.741
1983,high,487.339
1984,high,444.265
1985,high,303.838
1986,high,275.354
1987,high,329.794
1988,high,391.784
1989,high,343.813
1990,high,449.754
1991,high,242.1
1992,high,367.038
1993,high,350.783
1994,high,302.665
1995,high,429.517
1996,high,350.741
1997,high,340.445
1998,high,496.843
1999,high,422.413
2000,high,518.531
2001,high,236.548
2002,high,186.106
2003,high,296.415
2004,high,278.689
2005,high,275.361
2006,high,205.168
2007,high,335.761
2008,high,323.264
2009,high,356.027
2010,high,650.643
2011,high,384.878
2012,high,360.409
2013,high,258.645
2014,high,339.948
2015,high,350.902
2016,high,404.618
2017,high,274.386
2018,high,235.875
2019,high,250.673
2020,high,394.019
2021,high,460.61
1982,moderate,111.744
1983,moderate,360.597
1984,moderate,300.547
1985,moderate,230.889
1986,moderate,223.408
1987,moderate,251.822
1988,moderate,253.683
1989,moderate,225.13
1990,moderate,275.955
1991,moderate,202.303
1992,moderate,281.858
1993,moderate,292.105
1994,moderate,175.7
1995,moderate,275.434
1996,moderate,274.56
1997,moderate,270.387
1998,moderate,355.914
1999,moderate,291.229
2000,moderate,323.643
2001,moderate,195.565
2002,moderate,126.351
2003,moderate,187.919
2004,moderate,198.861
2005,moderate,170.223
2006,moderate,148.141
2007,moderate,283.14
2008,moderate,265.917
2009,moderate,241.349
2010,moderate,466.606
2011,moderate,367.185
2012,moderate,234.606
2013,moderate,203.278
2014,moderate,277.009
2015,moderate,266.264
2016,moderate,311.515
2017,moderate,206.998
2018,moderate,176.86
2019,moderate,194.464
2020,moderate,330.866
2021,moderate,301.08
1982,low ,105.844
1983,low ,205.814
1984,low ,266.343
1985,low ,163.702
1986,low ,217.804
1987,low ,257.007
1988,low ,218.23
1989,low ,199.26
1990,low ,212.926
1991,low ,131.956
1992,low ,246.745
1993,low ,279.352
1994,low ,128.532
1995,low ,225.91
1996,low ,182.458
1997,low ,233.849
1998,low ,274.829
1999,low ,211.904
2000,low ,200.625
2001,low ,173.603
2002,low ,111.897
2003,low ,161.31
2004,low ,133.02
2005,low ,138.161
2006,low ,119.324
2007,low ,220.347
2008,low ,171.146
2009,low ,145.66
2010,low ,493.112
2011,low ,309.428
2012,low ,177.782
2013,low ,138.196
2014,low ,168.239
2015,low ,260.335
2016,low ,293.363
2017,low ,149.988
2018,low ,124.07
2019,low ,115.307
2020,low ,227.958
2021,low ,233.336
