rainfall,landform,tree_number,leaf_number,leaf_area,leaf_thickness,leaf_mass,wood_density
high,Shed,t1,1,2.782,0.545,96.9,772.6
high,Shed,t1,2,2.236,0.449,55.2,
high,Shed,t1,3,2.824,0.515,85.5,
high,Shed,t2,4,2.177,0.556,83.1,1410.2
high,Shed,t2,5,1.872,0.591,60.8,
high,Shed,t2,6,1.112,0.512,29.8,
high,Shed,t3,7,2.137,0.52,69.5,406.3
high,Shed,t3,8,1.752,0.55,61.7,
high,Shed,t3,9,1.334,0.529,40.8,
high,Shed,t4,10,1.379,0.52,56.6,440.2
high,Shed,t4,11,1.168,0.482,48.4,
high,Shed,t4,12,1.26,0.499,44.2,
high,Shed,t5,13,2.704,0.653,94.5,364.2
high,Shed,t5,14,1.912,0.582,65.4,
high,Shed,t5,15,1.678,0.567,44.3,
high,Shed,t6,16,0.757,0.473,19.4,741
high,Shed,t6,17,1.76,0.579,64.5,
high,Shed,t6,18,1.415,0.538,47.3,
high,Shed,t7,19,1.682,0.553,55.1,
high,Shed,t7,20,1.58,0.639,56.1,
high,Shed,t7,21,1.681,0.511,56.4,
high,Shed,t9,22,1.511,0.575,57.7,961.6
high,Shed,t9,23,1.187,0.516,39.6,
high,Shed,t9,24,1.457,0.586,60.5,
high,Shed,t10,25,1.942,0.595,73.5,569.9
high,Shed,t10,26,1.371,0.57,48.7,
high,Shed,t11,27,1.384,0.47,35.8,636.8
high,Shed,t11,28,1.35,0.496,34.1,
high,Shed,t11,29,1.486,0.481,39.6,
high,Shed,t12,30,1.704,0.432,34.5,622.3
high,Shed,t12,31,1.308,0.454,27.6,
high,Shed,t12,32,1.251,0.444,39.8,
high,Shed,t13,33,1.145,0.484,46.4,1056.5
high,Shed,t13,34,1.005,0.425,63.7,
high,Shed,t13,35,1.262,0.601,54.5,
high,Shed,t14,36,1.533,0.49,29.3,1207
high,Shed,t14,37,1.236,0.516,21.9,
high,Shed,t14,38,1.164,0.502,30.4,
high,Shed,t15,39,0.924,0.464,25.6,1086.8
high,Shed,t15,40,1.235,0.48,35.3,
high,Shed,t15,41,2.471,0.565,97.5,
high,Shed,t16,42,1.467,0.514,37,807.1
high,Shed,t16,43,0.789,0.54,22.2,
high,Shed,t16,44,1.195,0.547,41.4,
high,Shed,t17,45,2.231,0.479,79.3,517.5
high,Shed,t17,46,1.954,0.501,66.3,
high,Shed,t17,47,1.54,0.484,43.4,
high,Acc,t18,48,1.848,0.456,54.9,807
high,Acc,t18,49,2.438,0.456,71.9,
high,Acc,t18,50,1.751,0.483,54.2,
high,Acc,t19,51,1.863,0.592,68.4,
high,Acc,t19,52,1.878,0.525,64.5,
high,Acc,t19,53,1.842,0.476,50,
high,Acc,t20,54,1.716,0.431,45,523
high,Acc,t20,55,1.886,0.437,52.6,
high,Acc,t20,56,1.645,0.42,51.4,
high,Acc,t21,57,1.182,0.395,27.9,
high,Acc,t21,58,1.41,0.391,32.5,
high,Acc,t21,59,1.448,0.424,38.5,
high,Acc,t22,60,1.518,0.455,33.1,797.3
high,Acc,t22,61,0.963,0.43,55.8,
high,Acc,t22,62,1.4,0.458,43.3,
high,Acc,t23,63,1.367,0.433,27.9,1045.5
high,Acc,t23,64,1.563,0.518,56.1,
high,Acc,t23,65,1.471,0.497,45.3,
high,Acc,t24,66,1.373,0.437,44.6,1147.8
high,Acc,t24,67,1.2,0.42,31.2,
high,Acc,t24,68,1.163,0.528,35.3,
high,Acc,t25,69,0.884,0.398,21.8,511.4
high,Acc,t25,70,0.821,0.501,21.7,
high,Acc,t25,71,1.835,0.41,42.3,
high,Acc,t26,72,0.934,0.511,42.9,
high,Acc,t26,73,1.298,0.367,32.8,
high,Acc,t27,74,1.549,0.396,35,593.6
high,Acc,t27,75,1.236,0.356,25.9,
