fid,id,name,xcoord,ycoord
"1",,n1s1,144.110071270919,-29.9712686345715
"2",,n1s2,144.110155699629,-29.9713827472563
"3",,n1s3,144.110273139965,-29.9715343905952
"4",,n1s4,144.110389735322,-29.9716860171321
"5",,n1s5,144.11047594188,-29.971802959718
"6",,n1s6,144.110534862476,-29.9718823645128
"7",,n2s1,144.109966165737,-29.9716670630354
"8",,n2s2,144.109900685745,-29.9717931826116
"9",,n2s3,144.109813515111,-29.9719626681492
"10",,n2s4,144.109724439726,-29.9721326242753
"11",,n2s5,144.109660158589,-29.9722602428076
"12",,s2s6,144.109615626784,-29.9723437018154
"13",,n1s7,144.110594650504,-29.9719674738053
"15",,n3s1,144.10917181894,-29.9537596562537
"16",,n3s2,144.109071626307,-29.9537855724239
"17",,n3s3,144.108916569336,-29.9538256785638
"18",,n4s4,144.108710409535,-29.9538805479426
"19",,n3s5,144.108509415615,-29.9539335344644
"20",,n3s6,144.108306859099,-29.9539891168399
"21",,n5s1,144.11025189307,-29.9458801452893
"22",,n5s2,144.110352968719,-29.9459119443998
"23",,n5s3,144.110453857296,-29.945944333825
"24",,n5s4,144.110526750928,-29.9459654220466
"25",,n5s6,144.110708516212,-29.946025579165
"26",,n5s7,144.110831081529,-29.9460627143661
"27",,n5s5,144.110605220209,-29.9459927783577
"28",,n5s8,144.11095448077,-29.9461006037525
"29",,n5s9,144.111053703324,-29.9461302765261
"30",,n5s10,144.111147921153,-29.9461605064266
"31",,n4s1,144.110678299128,-29.9451130916878
"32",,,144.110798649539,-29.9450955698339
"33",,n4s3,144.110903845958,-29.9450790941757
"34",,n4s4,144.111030683916,-29.9450636781143
"35",,n4s5,144.111190758735,-29.945040121839
"36",,n4s6,144.111376040134,-29.9450140587168
"37",,n6s1,144.110337409372,-29.9699191975922
"38",,n6s2,144.110543325609,-29.9699582199038
"39",,,144.110749301683,-29.9699983703248
"40",,n6s4,144.11095897673,-29.9700394277152
"41",,,144.111168360798,-29.9700783974826
"42",,n7s1,144.110314907478,-29.9704266832717
"43",,n7s2,144.1104534293,-29.9706238198684
"44",,n7s3,144.1105602152,-29.9707854322992
"45",,n7s4,144.110696909413,-29.9709856557016
