tree,d_10_1st,d_10_2nd,d_10_3rd,d_10_4th,d_10_5th,d_10_6th,d_10_7th,d_10_8th,d_10_9th,d_10_10th,height,area_m2,sub_plot_area,subplot,plots,landform
1,4,4,,,,,,,,,420,480,210,g2s1,g2,shed
2,6,,,,,,,,,,410,480,210,g2s1,g2,shed
3,6,,,,,,,,,,410,480,210,g2s1,g2,shed
4,6,,,,,,,,,,420,480,210,g2s1,g2,shed
5,5,,,,,,,,,,420,480,210,g2s1,g2,shed
6,5,,,,,,,,,,420,480,210,g2s1,g2,shed
7,3.5,,,,,,,,,,420,480,210,g2s1,g2,shed
8,6,,,,,,,,,,410,480,210,g2s1,g2,shed
9,5,,,,,,,,,,420,480,210,g2s1,g2,shed
10,5,3,,,,,,,,,430,480,210,g2s1,g2,shed
11,5,,,,,,,,,,440,480,210,g2s1,g2,shed
12,5,,,,,,,,,,440,480,210,g2s1,g2,shed
13,3.5,,,,,,,,,,390,480,210,g2s1,g2,shed
14,3.5,,,,,,,,,,410,480,210,g2s1,g2,shed
15,3,,,,,,,,,,400,480,210,g2s1,g2,shed
16,3.5,,,,,,,,,,400,480,210,g2s1,g2,shed
17,3.5,,,,,,,,,,400,480,210,g2s1,g2,shed
18,3,,,,,,,,,,321,480,210,g2s1,g2,shed
19,4,,,,,,,,,,325,480,210,g2s1,g2,shed
20,4.5,,,,,,,,,,370,480,210,g2s1,g2,shed
21,3.5,7.5,,,,,,,,,278,480,210,g2s1,g2,shed
22,6,,,,,,,,,,410,480,210,g2s1,g2,shed
23,5.5,,,,,,,,,,430,480,210,g2s1,g2,shed
24,5,,,,,,,,,,410,480,210,g2s1,g2,shed
25,7,,,,,,,,,,380,480,210,g2s1,g2,shed
26,3.5,,,,,,,,,,370,480,210,g2s1,g2,shed
27,4.5,,,,,,,,,,258,480,210,g2s1,g2,shed
28,3.5,,,,,,,,,,233,480,210,g2s1,g2,shed
29,6,,,,,,,,,,385,480,210,g2s2,g2,shed
30,5,,,,,,,,,,380,480,210,g2s2,g2,shed
31,5.5,,,,,,,,,,390,480,210,g2s2,g2,shed
32,3,3,,,,,,,,,390,480,210,g2s2,g2,shed
33,7.5,,,,,,,,,,460,480,210,g2s2,g2,shed
34,8,,,,,,,,,,460,480,210,g2s2,g2,shed
