tree,d_10_1st,d_10_2nd,d_10_3rd,d_10_4th,d_10_5th,d_10_6th,d_10_7th,d_10_8th,d_10_9th,d_10_10th,height,area_m2,sub_plot_area,subplot,plots,landform
1,14.9,,,,,,,,,,580,3000,300,n3s1,n3,acc
2,4,18.2,,,,,,,,,590,3000,300,n3s1,n3,acc
3,14.1,,,,,,,,,,610,3000,300,n3s1,n3,acc
4,8.1,6.5,9.8,,,,,,,,495,3000,300,n3s1,n3,acc
5,12,,,,,,,,,,530,3000,300,n3s1,n3,acc
6,12.2,10.4,,,,,,,,,565,3000,300,n3s1,n3,acc
7,10.4,,,,,,,,,,520,3000,300,n3s1,n3,acc
8,15.5,,,,,,,,,,540,3000,300,n3s1,n3,acc
9,18.6,8.4,,,,,,,,,580,3000,300,n3s1,n3,acc
10,9.4,,,,,,,,,,525,3000,300,n3s1,n3,acc
11,14.5,,,,,,,,,,535,3000,300,n3s1,n3,acc
12,11.1,,,,,,,,,,545,3000,300,n3s1,n3,acc
13,7.8,,,,,,,,,,430,3000,300,n3s1,n3,acc
14,8.4,,,,,,,,,,500,3000,300,n3s1,n3,acc
15,8.8,,,,,,,,,,500,3000,300,n3s1,n3,acc
16,12.4,,,,,,,,,,520,3000,300,n3s1,n3,acc
17,10.3,,,,,,,,,,465,3000,300,n3s1,n3,acc
18,20.6,,,,,,,,,,590,3000,300,n3s2,n3,acc
19,18.2,8.7,4.5,,,,,,,,553,3000,300,n3s2,n3,acc
20,18.2,,,,,,,,,,552,3000,300,n3s2,n3,acc
21,8.6,5.9,10,,,,,,,,580,3000,300,n3s2,n3,acc
22,14.3,,,,,,,,,,510,3000,300,n3s2,n3,acc
23,12.4,,,,,,,,,,498,3000,300,n3s2,n3,acc
24,16.1,3.5,,,,,,,,,532,3000,300,n3s2,n3,acc
25,23.6,,,,,,,,,,590,3000,600,n3s3,n3,acc
26,5,9.7,5.5,4,13.1,,,,,,450,3000,600,n3s3,n3,acc
27,15.9,,,,,,,,,,556,3000,600,n3s3,n3,acc
28,10.5,10.2,10.3,17.5,,,,,,,611,3000,600,n3s3,n3,acc
29,12.5,17.4,,,,,,,,,584,3000,600,n3s4,n3,acc
30,17.8,,,,,,,,,,549,3000,600,n3s4,n3,acc
31,25,,,,,,,,,,582,3000,600,n3s4,n3,acc
32,26.1,,,,,,,,,,706,3000,600,n3s4,n3,acc
33,29.5,,,,,,,,,,626,3000,600,n3s4,n3,acc
34,16.6,26.3,,,,,,,,,577,3000,600,n3s4,n3,acc
35,26.5,,,,,,,,,,597.5,3000,600,n3s5,n3,acc
36,10.4,,,,,,,,,,496,3000,600,n3s5,n3,acc
37,17.6,,,,,,,,,,515.5,3000,600,n3s5,n3,acc
38,9.4,,,,,,,,,,535,3000,600,n3s5,n3,acc
39,27.9,,,,,,,,,,602,3000,600,n3s5,n3,acc
40,15.3,,,,,,,,,,531,3000,600,n3s5,n3,acc
41,26,,,,,,,,,,645,3000,600,n3s5,n3,acc
42,23.1,,,,,,,,,,550,3000,600,n3s5,n3,acc
43,14.3,,,,,,,,,,615,3000,600,n3s5,n3,acc
